Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALK,ALK,ALK,ALK,ALK,ALK
Date,,,,,,
2000-01-03,7.8685383796691895,8.75,9.0,8.75,8.875,900400
2000-01-04,7.770179271697998,8.640625,8.84375,8.625,8.796875,892000
2000-01-05,7.812331199645996,8.6875,8.75,8.515625,8.703125,1016800
2000-01-06,7.81935977935791,8.695313453674316,8.765625,8.53125,8.6875,1045200
2000-01-07,8.107403755187988,9.015625,9.078125,8.6875,8.765625,1304800
2000-01-10,7.966892242431641,8.859375,9.21875,8.8125,9.078125,1474800
2000-01-11,7.966892242431641,8.859375,9.109375,8.859375,8.96875,1962800
2000-01-12,7.742079734802246,8.609375,9.0,8.59375,8.921875,1040400
2000-01-13,7.728025436401367,8.59375,8.703125,8.46875,8.515625,1389600
2000-01-14,7.685874938964844,8.546875,8.703125,8.5,8.625,1209200
2000-01-18,7.671823024749756,8.53125,8.609375,8.53125,8.578125,765600
2000-01-19,7.489160537719727,8.328125,8.5625,8.3125,8.515625,941200
2000-01-20,7.306499004364014,8.125,8.421875,8.078125,8.34375,1241600
2000-01-21,7.151937484741211,7.953125,8.140625,7.796875,8.0,1471600
2000-01-24,6.7725629806518555,7.53125,8.0,7.53125,7.96875,1567200
2000-01-25,6.85686731338501,7.625,7.734375,7.578125,7.59375,938000
2000-01-26,7.2502946853637695,8.0625,8.1875,7.578125,7.625,1780000
2000-01-27,7.165989875793457,7.96875,8.09375,7.9375,8.09375,959200
2000-01-28,7.334600448608398,8.15625,8.21875,8.0,8.015625,824000
2000-01-31,7.165989875793457,7.96875,8.171875,7.96875,8.125,1047200
2000-02-01,7.1378865242004395,7.9375,8.171875,7.375,7.46875,3467600
2000-02-02,7.151937484741211,7.953125,8.03125,7.734375,7.90625,1629600
2000-02-03,6.997377395629883,7.78125,7.890625,7.71875,7.84375,1693200
2000-02-04,6.899020195007324,7.671875,7.796875,7.671875,7.765625,942400
2000-02-07,6.828765869140625,7.59375,7.75,7.546875,7.609375,1138800
2000-02-08,6.758511543273926,7.515625,7.59375,7.453125,7.59375,1420400
2000-02-09,6.646103858947754,7.390625,7.5,7.390625,7.5,782800
2000-02-10,6.70230770111084,7.453125,7.546875,7.296875,7.484375,1642800
2000-02-11,6.561798095703125,7.296875,7.453125,7.296875,7.40625,482400
2000-02-14,6.140268325805664,6.828125,7.296875,6.765625,7.28125,1692000
2000-02-15,6.224574565887451,6.921875,7.0,6.75,6.875,1457200
2000-02-16,6.252676010131836,6.953125,7.046875,6.859375,6.921875,1769200
2000-02-17,6.379134654998779,7.09375,7.140625,6.953125,6.984375,1376800
2000-02-18,6.322930812835693,7.03125,7.171875,6.9375,7.140625,898000
2000-02-22,6.168371200561523,6.859375,7.03125,6.8125,7.03125,1195200
2000-02-23,6.098116397857666,6.78125,6.890625,6.765625,6.890625,1871600
2000-02-24,6.126218795776367,6.8125,6.828125,6.65625,6.796875,713200
2000-02-25,5.985708236694336,6.65625,6.765625,6.625,6.75,616000
2000-02-28,6.084064960479736,6.765625,6.890625,6.625,6.625,621600
2000-02-29,5.957607269287109,6.625,6.828125,6.53125,6.828125,987600
2000-03-01,5.999758720397949,6.671875,6.84375,6.65625,6.6875,907200
2000-03-02,5.873300552368164,6.53125,6.671875,6.5,6.640625,638800
2000-03-03,6.1121673583984375,6.796875,6.828125,6.46875,6.546875,1117600
2000-03-06,5.859249114990234,6.515625,6.75,6.40625,6.734375,1013200
2000-03-07,5.732792377471924,6.375,6.546875,6.3125,6.546875,880000
2000-03-08,6.013810157775879,6.6875,6.75,6.4375,6.4375,1961600
2000-03-09,5.845198631286621,6.5,6.78125,6.375,6.5625,1833200
2000-03-10,6.041912078857422,6.71875,6.859375,6.546875,6.59375,888400
2000-03-13,6.084064960479736,6.765625,6.8125,6.5,6.71875,730400
2000-03-14,5.831147193908691,6.484375,6.84375,6.40625,6.78125,1840400
2000-03-15,6.758511543273926,7.515625,7.578125,6.53125,6.53125,2609600
2000-03-16,7.306499004364014,8.125,8.3125,7.46875,7.578125,2004800
2000-03-17,6.899020195007324,7.671875,8.15625,7.609375,8.0625,1437600
2000-03-20,6.744460582733154,7.5,7.65625,7.21875,7.25,2272000
2000-03-21,7.109785556793213,7.90625,8.046875,7.46875,7.5,1236400
2000-03-22,6.505591869354248,7.234375,7.921875,7.21875,7.921875,3377200
2000-03-23,6.828765869140625,7.59375,7.59375,7.140625,7.234375,1602000
2000-03-24,6.533695220947266,7.265625,7.765625,7.25,7.546875,2410000
2000-03-27,6.505591869354248,7.234375,7.453125,7.171875,7.28125,701600
2000-03-28,6.68825626373291,7.4375,7.5,7.28125,7.28125,1496800
2000-03-29,6.575849533081055,7.3125,7.609375,7.25,7.46875,1274800
2000-03-30,6.47749137878418,7.203125,7.375,7.1875,7.375,1140000
2000-03-31,6.758511543273926,7.515625,7.546875,7.171875,7.1875,1852000
2000-04-03,6.5196452140808105,7.25,7.53125,7.1875,7.5,1118800
2000-04-04,6.5196452140808105,7.25,7.453125,7.015625,7.3125,1284000
2000-04-05,6.969275951385498,7.75,7.875,7.25,7.265625,1430000
2000-04-06,6.941173553466797,7.71875,7.84375,7.6875,7.71875,573200
2000-04-07,6.730409145355225,7.484375,7.734375,7.40625,7.65625,562800
2000-04-10,6.828765869140625,7.59375,7.6875,7.5,7.5,758800
2000-04-11,7.0535807609558105,7.84375,7.875,7.625,7.65625,862400
2000-04-12,7.0535807609558105,7.84375,7.96875,7.75,7.90625,886000
2000-04-13,7.011427402496338,7.796875,7.90625,7.78125,7.90625,1628400
2000-04-14,6.660154342651367,7.40625,7.765625,7.234375,7.75,1247600
2000-04-17,6.505591869354248,7.234375,7.359375,7.125,7.3125,1144000
2000-04-18,6.68825626373291,7.4375,7.5,7.21875,7.234375,961600
2000-04-19,6.842816352844238,7.609375,7.734375,7.234375,7.34375,1197200
2000-04-20,6.68825626373291,7.4375,7.609375,7.28125,7.609375,699200
2000-04-24,6.393186092376709,7.109375,7.4375,7.03125,7.4375,994800
2000-04-25,6.68825626373291,7.4375,7.4375,7.15625,7.15625,583600
2000-04-26,6.505591869354248,7.234375,7.4375,7.15625,7.4375,1038000
2000-04-27,6.463441848754883,7.1875,7.234375,7.0625,7.1875,564000
2000-04-28,6.463441848754883,7.1875,7.25,7.046875,7.1875,638000
2000-05-01,6.716359615325928,7.46875,7.5625,7.15625,7.171875,820400
2000-05-02,6.575849533081055,7.3125,7.515625,7.203125,7.4375,627200
2000-05-03,6.491542339324951,7.21875,7.328125,7.203125,7.328125,570000
2000-05-04,6.674205780029297,7.421875,7.453125,7.34375,7.375,692800
2000-05-05,6.7725629806518555,7.53125,7.6875,7.40625,7.421875,741200
2000-05-08,6.969275951385498,7.75,7.8125,7.515625,7.59375,778800
2000-05-09,6.800663948059082,7.5625,7.796875,7.359375,7.765625,903200
2000-05-10,6.632051944732666,7.375,7.640625,7.3125,7.515625,670400
2000-05-11,6.70230770111084,7.453125,7.53125,7.375,7.375,817200
2000-05-12,6.463441848754883,7.1875,7.484375,7.125,7.4375,1062400
2000-05-15,6.561798095703125,7.296875,7.375,7.125,7.203125,599600
2000-05-16,6.70230770111084,7.453125,7.453125,7.1875,7.25,1046400
2000-05-17,6.7725629806518555,7.53125,7.71875,7.375,7.390625,688000
2000-05-18,6.533695220947266,7.265625,7.515625,7.1875,7.5,513600
2000-05-19,6.435338020324707,7.15625,7.25,7.15625,7.25,407600
2000-05-22,6.280777931213379,6.984375,7.203125,6.984375,7.15625,772400
2000-05-23,6.421288967132568,7.140625,7.171875,6.984375,6.984375,624400
2000-05-24,6.744460582733154,7.5,8.015625,7.375,8.0,3803600
2000-05-25,6.842816352844238,7.609375,7.6875,7.53125,7.53125,1075200
2000-05-26,6.758511543273926,7.515625,7.609375,7.515625,7.609375,584000
2000-05-30,6.997377395629883,7.78125,7.828125,7.53125,7.53125,850800
2000-05-31,6.997377395629883,7.78125,7.8125,7.765625,7.78125,764400
2000-06-01,7.1800408363342285,7.984375,7.984375,7.796875,7.8125,485200
2000-06-02,6.913071155548096,7.6875,8.296875,7.03125,8.28125,4353200
2000-06-05,6.744460582733154,7.5,7.71875,7.40625,7.625,1676000
2000-06-06,6.68825626373291,7.4375,7.609375,7.265625,7.5625,1103200
2000-06-07,6.828765869140625,7.59375,7.625,7.3125,7.46875,1778400
2000-06-08,6.955223560333252,7.734375,7.734375,7.5,7.5625,639600
2000-06-09,7.06763219833374,7.859375,7.90625,7.6875,7.703125,936400
2000-06-12,6.716359615325928,7.46875,7.875,7.34375,7.875,969600
2000-06-13,6.6039509773254395,7.34375,7.46875,7.203125,7.46875,886400
2000-06-14,6.68825626373291,7.4375,7.4375,7.125,7.3125,984400
2000-06-15,6.5196452140808105,7.25,7.375,7.1875,7.3125,1137200
2000-06-16,6.47749137878418,7.203125,7.234375,7.109375,7.21875,883600
2000-06-19,6.5196452140808105,7.25,7.296875,7.234375,7.234375,531600
2000-06-20,6.491542339324951,7.21875,7.328125,7.203125,7.3125,1123600
2000-06-21,6.449389934539795,7.171875,7.21875,7.15625,7.21875,576000
2000-06-22,6.252676010131836,6.953125,7.171875,6.9375,7.171875,1477600
2000-06-23,6.266727447509766,6.96875,6.984375,6.828125,6.96875,666400
2000-06-26,6.126218795776367,6.8125,6.984375,6.78125,6.984375,499200
2000-06-27,6.238626003265381,6.9375,7.046875,6.8125,6.8125,1252800
2000-06-28,6.336982250213623,7.046875,7.0625,6.890625,6.984375,979600
2000-06-29,5.971656322479248,6.640625,6.90625,6.609375,6.6875,2548000
2000-06-30,6.098116397857666,6.78125,7.125,6.640625,6.703125,1870400
2000-07-03,6.084064960479736,6.765625,6.828125,6.71875,6.796875,238000
2000-07-05,6.280777931213379,6.984375,7.046875,6.765625,6.9375,1492800
2000-07-06,6.252676010131836,6.953125,7.0,6.65625,7.0,1957600
2000-07-07,6.294829368591309,7.0,7.0625,6.96875,7.0,513600
2000-07-10,6.196473598480225,6.890625,7.015625,6.8125,7.015625,1211200
2000-07-11,6.098116397857666,6.78125,6.953125,6.78125,6.9375,523600
2000-07-12,6.449389934539795,7.171875,7.234375,6.828125,6.828125,1070400
2000-07-13,6.393186092376709,7.109375,7.234375,7.046875,7.1875,405200
2000-07-14,6.182421684265137,6.875,7.03125,6.5625,6.625,2677200
2000-07-17,6.365084171295166,7.078125,7.15625,6.90625,6.9375,669200
2000-07-18,6.3088812828063965,7.015625,7.109375,6.875,7.078125,696000
2000-07-19,6.055962085723877,6.734375,6.9375,6.703125,6.9375,1103200
2000-07-20,6.098116397857666,6.78125,6.828125,6.6875,6.78125,596800
2000-07-21,6.182421684265137,6.875,6.90625,6.65625,6.734375,931200
2000-07-24,6.224574565887451,6.921875,7.0625,6.859375,6.859375,841600
2000-07-25,6.182421684265137,6.875,7.046875,6.875,6.953125,626800
2000-07-26,6.421288967132568,7.140625,7.1875,6.8125,6.875,1017200
2000-07-27,6.238626003265381,6.9375,7.21875,6.9375,7.171875,551600
2000-07-28,6.02786111831665,6.703125,6.921875,6.640625,6.890625,897600
2000-07-31,6.168371200561523,6.859375,6.90625,6.734375,6.734375,744400
2000-08-01,6.224574565887451,6.921875,6.96875,6.875,6.90625,622000
2000-08-02,6.252676010131836,6.953125,7.03125,6.953125,6.96875,857200
2000-08-03,6.280777931213379,6.984375,7.09375,6.984375,7.0,767200
2000-08-04,6.280777931213379,6.984375,6.984375,6.796875,6.796875,687600
2000-08-07,6.3088812828063965,7.015625,7.03125,6.953125,6.96875,353600
2000-08-08,6.351033687591553,7.0625,7.125,6.984375,7.078125,1265600
2000-08-09,6.224574565887451,6.921875,7.078125,6.890625,7.03125,898000
2000-08-10,6.224574565887451,6.921875,6.96875,6.828125,6.9375,802800
2000-08-11,6.238626003265381,6.9375,6.9375,6.796875,6.890625,819200
2000-08-14,6.168371200561523,6.859375,6.9375,6.84375,6.9375,234800
2000-08-15,6.126218795776367,6.8125,6.828125,6.65625,6.828125,687600
2000-08-16,6.070014953613281,6.75,6.75,6.578125,6.6875,370000
2000-08-17,5.94355583190918,6.609375,6.734375,6.46875,6.734375,849600
2000-08-18,5.94355583190918,6.609375,6.65625,6.515625,6.65625,552000
2000-08-21,5.915452003479004,6.578125,6.671875,6.5625,6.625,371200
2000-08-22,5.901402473449707,6.5625,6.578125,6.46875,6.5625,507200
2000-08-23,5.817097187042236,6.46875,6.53125,6.421875,6.53125,550000
2000-08-24,5.831147193908691,6.484375,6.515625,6.359375,6.40625,670400
2000-08-25,5.94355583190918,6.609375,6.671875,6.46875,6.53125,822400
2000-08-28,5.80304479598999,6.453125,6.640625,6.4375,6.546875,342000
2000-08-29,5.80304479598999,6.453125,6.453125,6.375,6.390625,373600
2000-08-30,5.760892868041992,6.40625,6.4375,6.359375,6.4375,409200
2000-08-31,5.845198631286621,6.5,6.546875,6.40625,6.421875,384800
2000-09-01,5.80304479598999,6.453125,6.53125,6.453125,6.515625,451200
2000-09-05,5.929503917694092,6.59375,6.59375,6.453125,6.46875,338000
2000-09-06,5.971656322479248,6.640625,6.703125,6.59375,6.59375,396000
2000-09-07,5.845198631286621,6.5,6.609375,6.4375,6.59375,284000
2000-09-08,5.845198631286621,6.5,6.578125,6.453125,6.515625,661200
2000-09-11,5.718739986419678,6.359375,6.5625,6.328125,6.5,2989600
2000-09-12,5.7046895027160645,6.34375,6.390625,6.265625,6.375,542000
2000-09-13,5.774943828582764,6.421875,6.453125,6.3125,6.3125,517200
2000-09-14,5.7046895027160645,6.34375,6.46875,6.28125,6.453125,279600
2000-09-15,5.7468414306640625,6.390625,6.390625,6.28125,6.28125,625200
2000-09-18,5.564180374145508,6.1875,6.40625,6.125,6.359375,1566800
2000-09-19,5.451769828796387,6.0625,6.1875,5.921875,6.1875,1216800
2000-09-20,5.38151741027832,5.984375,6.046875,5.90625,5.96875,651200
2000-09-21,5.353414058685303,5.953125,6.109375,5.828125,6.015625,608000
2000-09-22,5.38151741027832,5.984375,6.0,5.78125,5.9375,745600
2000-09-25,5.465822696685791,6.078125,6.109375,5.984375,6.015625,1450800
2000-09-26,5.311262607574463,5.90625,6.046875,5.859375,6.03125,383600
2000-09-27,5.311262607574463,5.90625,5.984375,5.828125,5.890625,462000
2000-09-28,5.451769828796387,6.0625,6.0625,5.84375,5.890625,499200
2000-09-29,5.395566463470459,6.0,6.015625,5.8125,5.984375,890000
2000-10-02,5.255059242248535,5.84375,5.96875,5.828125,5.96875,271200
2000-10-03,5.367466926574707,5.96875,6.015625,5.875,5.875,480800
2000-10-04,5.5079755783081055,6.125,6.25,5.96875,5.96875,1278800
2000-10-05,5.7046895027160645,6.34375,6.5,6.1875,6.1875,914400
2000-10-06,5.451769828796387,6.0625,6.390625,6.0,6.34375,937200
2000-10-09,5.550128936767578,6.171875,6.1875,6.0,6.078125,762400
2000-10-10,5.536077976226807,6.15625,6.265625,6.15625,6.171875,393600
2000-10-11,4.763275146484375,5.296875,5.640625,5.296875,5.625,2043200
2000-10-12,4.805427074432373,5.34375,5.5,5.203125,5.5,1442800
2000-10-13,4.833528995513916,5.375,5.40625,5.25,5.3125,856000
2000-10-16,4.749224662780762,5.28125,5.40625,5.15625,5.375,428800
2000-10-17,4.7211222648620605,5.25,5.359375,5.0,5.28125,1423200
2000-10-18,4.707070350646973,5.234375,5.25,4.875,5.125,2388400
2000-10-19,4.94593620300293,5.5,5.515625,5.234375,5.234375,1005200
2000-10-20,4.664917945861816,5.1875,5.453125,5.09375,5.4375,2907600
2000-10-23,4.90378475189209,5.453125,5.5,5.171875,5.203125,2096400
2000-10-24,4.90378475189209,5.453125,5.484375,5.40625,5.46875,1011600
