Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK,BLK
Date,,,,,,
2000-01-03,10.203375816345215,16.625,17.5,16.625,17.4375,64600
2000-01-04,9.743070602416992,15.875,16.625,15.625,16.625,81900
2000-01-05,9.666358947753906,15.75,15.75,15.0,15.75,38100
2000-01-06,9.819788932800293,16.0,16.25,15.75,15.75,41200
2000-01-07,9.743070602416992,15.875,16.25,15.75,15.875,34700
2000-01-10,9.819788932800293,16.0,16.5,16.0,16.5,94200
2000-01-11,10.088298797607422,16.4375,16.875,16.0,16.125,39700
2000-01-12,10.510242462158203,17.125,17.125,16.5,16.5,25100
2000-01-13,10.395170211791992,16.9375,17.5,16.875,17.25,62000
2000-01-14,10.740398406982422,17.5,17.75,16.875,17.0,183100
2000-01-18,11.047266006469727,18.0,18.25,17.75,17.75,77300
2000-01-19,11.200697898864746,18.25,18.375,17.9375,18.0,34500
2000-01-20,10.740398406982422,17.5,18.25,17.375,18.25,42200
2000-01-21,10.663675308227539,17.375,17.5,17.25,17.4375,16000
2000-01-24,10.510242462158203,17.125,17.5,17.0,17.5,10700
2000-01-25,10.58696174621582,17.25,17.5,17.0625,17.125,19200
2000-01-26,10.702031135559082,17.4375,17.5,17.25,17.25,16600
2000-01-27,10.740398406982422,17.5,18.0,17.4375,17.4375,33600
2000-01-28,10.663675308227539,17.375,17.625,17.3125,17.625,3900
2000-01-31,10.740398406982422,17.5,17.5,17.125,17.125,53900
2000-02-01,10.893827438354492,17.75,17.75,17.375,17.375,15400
2000-02-02,11.008901596069336,17.9375,18.125,17.875,18.0,92700
2000-02-03,11.047266006469727,18.0,18.125,17.9375,18.0625,35200
2000-02-04,11.315770149230957,18.4375,18.5625,18.125,18.125,51500
2000-02-07,11.354129791259766,18.5,18.5625,18.375,18.4375,25200
2000-02-08,11.392487525939941,18.5625,18.875,18.5,18.5,45300
2000-02-09,11.277413368225098,18.375,18.75,18.375,18.75,9100
2000-02-10,10.970547676086426,17.875,18.5,17.875,18.5,9700
2000-02-11,11.008901596069336,17.9375,18.0,17.875,17.875,24700
2000-02-14,11.047266006469727,18.0,18.0625,17.875,18.0625,7100
2000-02-15,10.970547676086426,17.875,18.0,17.875,17.875,4900
2000-02-16,11.354129791259766,18.5,18.5,17.875,17.875,69000
2000-02-17,11.277413368225098,18.375,18.6875,18.3125,18.5,28100
2000-02-18,11.354129791259766,18.5,18.5625,18.375,18.375,5000
2000-02-22,11.392487525939941,18.5625,18.8125,18.5625,18.625,10700
2000-02-23,11.545923233032227,18.8125,18.9375,18.5625,18.5625,5700
2000-02-24,11.66100025177002,19.0,19.125,18.875,18.875,61800
2000-02-25,11.814433097839355,19.25,19.25,19.0,19.0,41400
2000-02-28,12.351449966430664,20.125,20.125,19.25,19.25,35700
2000-02-29,13.425494194030762,21.875,21.875,21.625,21.75,79900
2000-03-01,13.348777770996094,21.75,22.75,21.75,22.5,140600
2000-03-02,13.540566444396973,22.0625,22.25,22.0,22.0,26600
2000-03-03,13.578927040100098,22.125,22.125,22.0625,22.125,17300
2000-03-06,13.540566444396973,22.0625,22.25,22.0625,22.0625,9900
2000-03-07,13.502213478088379,22.0,22.125,21.75,22.125,26200
2000-03-08,13.502213478088379,22.0,22.1875,22.0,22.0,31700
2000-03-09,13.502213478088379,22.0,22.0,21.75,21.875,7800
2000-03-10,13.578927040100098,22.125,22.125,21.9375,22.0,5200
2000-03-13,14.039229393005371,22.875,23.125,22.25,22.375,27900
2000-03-14,14.039229393005371,22.875,23.0,22.875,22.875,1300
2000-03-15,14.806398391723633,24.125,24.125,22.625,23.125,29000
2000-03-16,14.95983600616455,24.375,25.0,24.125,24.125,19500
2000-03-17,15.189988136291504,24.75,24.75,23.375,23.375,73300
2000-03-20,14.729676246643066,24.0,24.25,23.875,24.0,134700
2000-03-21,14.729676246643066,24.0,24.0,23.75,23.75,172200
2000-03-22,13.885794639587402,22.625,23.75,22.625,23.75,35900
2000-03-23,13.809081077575684,22.5,22.625,22.5,22.625,1300
2000-03-24,13.770722389221191,22.4375,22.5,22.375,22.5,5600
2000-03-27,13.540566444396973,22.0625,22.1875,22.0,22.1875,19600
2000-03-28,12.274739265441895,20.0,22.0625,19.75,22.0625,42600
2000-03-29,12.12130069732666,19.75,19.875,19.75,19.75,77000
2000-03-30,12.543240547180176,20.4375,20.5,19.8125,19.8125,18700
2000-03-31,12.428171157836914,20.25,20.4375,20.25,20.4375,23500
2000-04-03,12.658320426940918,20.625,20.6875,20.25,20.25,4000
2000-04-04,12.735042572021484,20.75,20.875,20.625,20.625,77700
2000-04-05,13.156984329223633,21.4375,21.4375,20.625,20.75,32700
2000-04-06,13.7323637008667,22.375,22.4375,21.125,21.375,12500
2000-04-07,14.883118629455566,24.25,24.4375,22.25,22.25,44500
2000-04-10,14.729676246643066,24.0,24.25,24.0,24.25,16100
2000-04-11,14.768040657043457,24.0625,24.125,24.0,24.125,6300
2000-04-12,14.652971267700195,23.875,24.0,23.8125,24.0,3800
2000-04-13,14.34609603881836,23.375,23.75,23.375,23.75,4900
2000-04-14,14.115948677062988,23.0,23.25,23.0,23.25,10200
2000-04-17,13.770722389221191,22.4375,22.875,22.375,22.875,15500
2000-04-18,13.463855743408203,21.9375,22.3125,21.875,22.3125,2900
2000-04-19,12.888471603393555,21.0,21.9375,21.0,21.8125,20400
2000-04-20,12.965195655822754,21.125,21.15625,20.9375,21.0,78800
2000-04-24,13.272059440612793,21.625,21.625,21.0,21.0625,15100
2000-04-25,14.729676246643066,24.0,24.5,21.6875,21.875,74600
2000-04-26,14.806398391723633,24.125,24.25,23.8125,24.25,67700
2000-04-27,14.921473503112793,24.3125,24.375,24.0,24.0,12600
2000-04-28,15.957161903381348,26.0,26.0,24.375,24.5,43100
2000-05-01,14.729676246643066,24.0,26.5,24.0,26.25,97500
2000-05-02,14.614609718322754,23.8125,24.125,23.75,24.125,6100
2000-05-03,14.883118629455566,24.25,24.375,23.5625,23.5625,23000
2000-05-04,14.499534606933594,23.625,24.0,23.625,24.0,6300
2000-05-05,14.537896156311035,23.6875,23.875,23.5,23.5,6200
2000-05-08,14.729676246643066,24.0,24.125,23.5,23.5625,20400
2000-05-09,14.95983600616455,24.375,24.375,24.0625,24.125,19900
2000-05-10,15.381783485412598,25.0625,25.0625,24.375,24.5,23400
2000-05-11,15.496859550476074,25.25,25.75,25.125,25.125,30200
2000-05-12,15.803723335266113,25.75,25.75,24.875,25.0,32300
2000-05-15,15.803723335266113,25.75,26.5,25.625,25.75,73700
2000-05-16,16.11058807373047,26.25,26.5,25.625,25.8125,26100
2000-05-17,16.187314987182617,26.375,26.5,26.25,26.375,5300
2000-05-18,16.07223892211914,26.1875,26.375,26.0625,26.375,9400
2000-05-19,16.033876419067383,26.125,26.1875,26.0,26.1875,38200
2000-05-22,15.842081069946289,25.8125,26.0,25.8125,26.0,6700
2000-05-23,14.576254844665527,23.75,25.375,23.75,25.375,63200
2000-05-24,14.26938247680664,23.25,23.625,23.0,23.25,33100
2000-05-25,14.34609603881836,23.375,23.5,23.375,23.375,12500
2000-05-26,14.26938247680664,23.25,23.625,23.25,23.375,64800
2000-05-30,14.26938247680664,23.25,23.25,22.8125,23.25,89000
2000-05-31,14.768040657043457,24.0625,24.1875,23.25,23.25,68300
2000-06-01,14.95983600616455,24.375,24.75,24.0625,24.0625,38200
2000-06-02,15.803723335266113,25.75,26.0,24.5,24.5,62400
2000-06-05,16.494169235229492,26.875,27.0,25.375,25.625,145400
2000-06-06,16.22566795349121,26.4375,26.875,26.375,26.875,61200
2000-06-07,15.918803215026855,25.9375,26.4375,25.9375,26.4375,16400
2000-06-08,15.611928939819336,25.4375,25.8125,25.375,25.8125,32200
2000-06-09,15.611928939819336,25.4375,25.4375,25.25,25.375,29700
2000-06-12,15.496859550476074,25.25,25.4375,24.5,25.4375,75500
2000-06-13,15.957161903381348,26.0,26.0,24.75,24.75,185700
2000-06-14,16.455812454223633,26.8125,26.9375,26.0,26.0,162900
2000-06-15,16.877765655517578,27.5,28.0,27.0625,27.0625,104300
2000-06-16,17.798370361328125,29.0,29.25,27.5,27.5,222700
2000-06-19,17.683298110961914,28.8125,29.375,28.75,29.25,197500
2000-06-20,17.45314598083496,28.4375,28.625,28.0,28.625,68600
2000-06-21,17.95180892944336,29.25,29.25,28.5,28.5,35700
2000-06-22,18.949132919311523,30.875,31.375,29.0,29.1875,53000
2000-06-23,18.527185440063477,30.1875,30.90625,30.0,30.875,53900
2000-06-26,19.025840759277344,31.0,31.0,29.75,30.0,85500
2000-06-27,19.869735717773438,32.375,32.625,31.125,31.25,58000
2000-06-28,21.480796813964844,35.0,36.0,32.0,32.375,128800
2000-06-29,20.02316665649414,32.625,35.0,32.625,35.0,292000
2000-06-30,17.798370361328125,29.0,34.0,29.0,32.875,583600
2000-07-03,17.95180892944336,29.25,29.625,29.125,29.1875,80300
2000-07-05,18.028520584106445,29.375,29.5,28.375,29.25,80400
2000-07-06,17.721656799316406,28.875,29.25,28.75,29.125,56000
2000-07-07,18.2586727142334,29.75,29.75,28.3125,28.625,36300
2000-07-10,19.639577865600586,32.0,32.125,29.875,29.875,76900
2000-07-11,20.483478546142578,33.375,33.8125,32.125,32.125,106000
2000-07-12,21.020484924316406,34.25,34.25,32.3125,33.0625,286500
2000-07-13,20.675256729125977,33.6875,34.25,33.6875,34.25,87400
2000-07-14,20.790340423583984,33.875,33.875,33.4375,33.6875,13700
2000-07-17,20.291677474975586,33.0625,34.0,33.0625,33.875,49800
2000-07-18,19.83138084411621,32.3125,32.875,31.5625,32.875,60500
2000-07-19,19.716293334960938,32.125,32.3125,31.9375,32.3125,98500
2000-07-20,19.984800338745117,32.5625,32.625,32.0625,32.1875,28000
2000-07-21,20.75197410583496,33.8125,33.875,32.6875,32.6875,20000
2000-07-24,20.905405044555664,34.0625,36.375,33.8125,33.8125,103000
2000-07-25,20.713623046875,33.75,34.5,33.75,34.125,76600
2000-07-26,20.905405044555664,34.0625,34.375,33.8125,33.8125,62200
2000-07-27,20.905405044555664,34.0625,34.0625,34.0,34.0,18100
2000-07-28,20.86705207824707,34.0,34.3125,34.0,34.3125,129100
2000-07-31,20.713623046875,33.75,34.0,33.6875,33.9375,69000
2000-08-01,20.636898040771484,33.625,33.75,33.5625,33.75,4900
2000-08-02,20.598543167114258,33.5625,33.625,33.5,33.5625,4400
2000-08-03,20.636898040771484,33.625,33.75,33.5,33.625,26700
2000-08-04,20.713623046875,33.75,33.75,33.6875,33.75,14900
2000-08-07,19.869735717773438,32.375,33.875,31.125,33.875,77600
2000-08-08,20.176597595214844,32.875,33.0,32.5,32.5,16000
2000-08-09,20.790340423583984,33.875,33.875,32.0,33.0,57000
2000-08-10,20.636898040771484,33.625,33.875,33.5,33.875,15600
2000-08-11,20.445104598999023,33.3125,33.5,33.25,33.5,8300
2000-08-14,20.560190200805664,33.5,33.625,33.3125,33.375,16400
2000-08-15,20.483478546142578,33.375,33.625,33.3125,33.5,17600
2000-08-16,20.675256729125977,33.6875,33.6875,33.5,33.5,36700
2000-08-17,21.327350616455078,34.75,34.875,33.6875,33.6875,34400
2000-08-18,21.25063705444336,34.625,34.75,34.5,34.75,20400
2000-08-21,21.404062271118164,34.875,35.0,34.5625,34.5625,15200
2000-08-22,21.7109375,35.375,35.5,35.0,35.0,6200
2000-08-23,21.327350616455078,34.75,35.4375,34.625,35.375,8500
2000-08-24,21.480796813964844,35.0,35.0625,34.5625,34.75,92100
2000-08-25,21.672588348388672,35.3125,35.375,34.875,34.875,33300
2000-08-28,21.672588348388672,35.3125,35.5,35.25,35.3125,31200
2000-08-29,23.39871597290039,38.125,38.5,35.25,35.25,24900
2000-08-30,23.32200050354004,38.0,39.0,37.25,38.25,36300
2000-08-31,25.16320037841797,41.0,41.0,38.0,38.0,45700
2000-09-01,25.585155487060547,41.6875,42.625,41.25,41.25,38900
2000-09-05,25.47008514404297,41.5,41.75,41.125,41.4375,17500
2000-09-06,24.8179931640625,40.4375,41.375,40.375,41.25,21100
2000-09-07,22.478116989135742,36.625,39.75,35.5,39.625,241400
2000-09-08,22.70825958251953,37.0,37.0625,36.0,36.5,59900
2000-09-11,23.705577850341797,38.625,38.625,37.25,37.25,40900
2000-09-12,23.859020233154297,38.875,39.0,38.375,38.75,41300
2000-09-13,23.897382736206055,38.9375,38.9375,38.75,38.75,7300
2000-09-14,23.705577850341797,38.625,39.125,38.625,38.875,21800
2000-09-15,23.32200050354004,38.0,38.5,37.875,38.375,66200
2000-09-18,23.32200050354004,38.0,38.375,37.625,37.875,97200
2000-09-19,23.552146911621094,38.375,38.375,37.8125,38.0,20000
2000-09-20,23.475433349609375,38.25,38.25,38.0,38.125,22100
2000-09-21,22.401395797729492,36.5,38.0,36.5,38.0,21400
2000-09-22,21.25063705444336,34.625,36.875,34.625,36.25,66400
2000-09-25,21.864377975463867,35.625,36.0,34.625,34.625,60500
2000-09-26,21.672588348388672,35.3125,35.75,35.25,35.625,49400
2000-09-27,21.327350616455078,34.75,35.375,34.25,35.375,32600
2000-09-28,20.598543167114258,33.5625,34.6875,33.25,34.6875,82000
2000-09-29,19.639577865600586,32.0,34.75,32.0,33.625,72800
2000-10-02,20.253318786621094,33.0,33.0,31.875,32.25,121600
2000-10-03,21.480796813964844,35.0,36.0,33.375,33.375,105500
2000-10-04,21.557514190673828,35.125,35.25,34.0625,35.0,99000
2000-10-05,22.593191146850586,36.8125,36.8125,35.125,35.125,40800
2000-10-06,22.70825958251953,37.0,38.625,36.75,36.8125,130100
2000-10-09,22.938413619995117,37.375,37.5,37.0,37.25,77500
2000-10-10,23.16855812072754,37.75,38.0,37.5,37.5,69600
2000-10-11,22.13288688659668,36.0625,37.625,36.0,37.625,32600
2000-10-12,22.017803192138672,35.875,36.25,35.75,36.0625,37900
2000-10-13,23.705577850341797,38.625,38.625,36.0,36.125,70500
2000-10-16,24.472755432128906,39.875,40.0,38.75,38.75,72700
2000-10-17,23.782304763793945,38.75,40.0,38.5,39.875,112000
2000-10-18,25.546796798706055,41.625,42.0,38.0,38.0,228500
2000-10-19,25.009775161743164,40.75,42.5,40.125,42.0,125300
2000-10-20,25.815305709838867,42.0625,42.625,40.75,40.75,59200
2000-10-23,25.393352508544922,41.375,42.0625,40.3125,42.0625,96200
2000-10-24,24.24260139465332,39.5,41.25,38.625,41.25,122100
2000-10-25,24.856342315673828,40.5,40.5,39.375,39.375,44600
2000-10-26,25.048139572143555,40.8125,41.0,40.375,40.375,46800
2000-10-27,26.045452117919922,42.4375,43.0,41.0,41.0,124300
2000-10-30,26.083810806274414,42.5,43.0,41.5625,42.5,114300
2000-10-31,26.16053009033203,42.625,43.0,42.375,42.625,85200
2000-11-01,26.007104873657227,42.375,42.625,41.5,42.375,94000
2000-11-02,27.157854080200195,44.25,44.875,42.0,42.25,58400
2000-11-03,26.81263542175293,43.6875,44.5,43.5625,44.5,36600
2000-11-06,26.77426528930664,43.625,44.25,43.25,43.9375,141800
2000-11-07,26.81263542175293,43.6875,44.1875,43.5,43.625,49000
2000-11-08,26.697555541992188,43.5,43.75,43.4375,43.4375,50200
2000-11-09,27.157854080200195,44.25,44.5,42.75,43.375,91200
2000-11-10,27.081132888793945,44.125,44.5,43.9375,44.125,15600
2000-11-13,26.083810806274414,42.5,44.0,41.0,44.0,64900
2000-11-14,26.62082290649414,43.375,43.75,42.25,42.25,41200
2000-11-15,27.69487190246582,45.125,45.5,43.25,43.25,90700
