Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FL,FL,FL,FL,FL,FL
Date,,,,,,
2000-01-03 00:00:00+00:00,3.881984233856201,7.0,7.4375,6.9375,7.0625,240000
2000-01-04 00:00:00+00:00,3.8126633167266846,6.875,6.875,6.625,6.75,393600
2000-01-05 00:00:00+00:00,3.7780020236968994,6.8125,6.875,6.6875,6.875,138500
2000-01-06 00:00:00+00:00,3.847325086593628,6.9375,6.9375,6.75,6.9375,184900
2000-01-07 00:00:00+00:00,3.674023151397705,6.625,7.0,6.625,7.0,1886200
2000-01-10 00:00:00+00:00,3.9166462421417236,7.0625,7.1875,6.6875,6.75,519900
2000-01-11 00:00:00+00:00,3.8126633167266846,6.875,7.0625,6.8125,7.0625,153700
2000-01-12 00:00:00+00:00,3.7780020236968994,6.8125,6.8125,6.6875,6.8125,1544900
2000-01-13 00:00:00+00:00,3.708683967590332,6.6875,7.0,6.4375,6.8125,823100
2000-01-14 00:00:00+00:00,3.604701280593872,6.5,6.75,6.5,6.75,462600
2000-01-18 00:00:00+00:00,3.7433433532714844,6.75,6.75,6.5625,6.5625,732400
2000-01-19 00:00:00+00:00,3.708683967590332,6.6875,6.75,6.5625,6.625,337500
2000-01-20 00:00:00+00:00,3.708683967590332,6.6875,6.6875,6.5625,6.625,313700
2000-01-21 00:00:00+00:00,3.6393604278564453,6.5625,6.75,6.5,6.625,589900
2000-01-24 00:00:00+00:00,3.5353784561157227,6.375,6.5,6.375,6.5,483900
2000-01-25 00:00:00+00:00,3.604701280593872,6.5,7.0,6.4375,6.5,4488000
2000-01-26 00:00:00+00:00,3.5700387954711914,6.4375,6.75,6.4375,6.5,735700
2000-01-27 00:00:00+00:00,3.5700387954711914,6.4375,6.5625,6.4375,6.4375,1071200
2000-01-28 00:00:00+00:00,3.292754888534546,5.9375,6.4375,5.875,6.4375,2029500
2000-01-31 00:00:00+00:00,3.327416181564331,6.0,6.0,5.625,5.9375,1365100
2000-02-01 00:00:00+00:00,3.5353784561157227,6.375,6.4375,6.0625,6.0625,377700
2000-02-02 00:00:00+00:00,3.5700387954711914,6.4375,6.4375,6.0625,6.25,879500
2000-02-03 00:00:00+00:00,3.362076997756958,6.0625,6.5625,6.0625,6.5,540600
2000-02-04 00:00:00+00:00,3.4313976764678955,6.1875,6.25,5.9375,6.125,1520000
2000-02-07 00:00:00+00:00,3.3967368602752686,6.125,6.25,6.0625,6.0625,226800
2000-02-08 00:00:00+00:00,3.362076997756958,6.0625,6.375,5.875,6.25,904700
2000-02-09 00:00:00+00:00,3.1541125774383545,5.6875,5.9375,5.5625,5.875,1506600
2000-02-10 00:00:00+00:00,3.1887731552124023,5.75,5.8125,5.1875,5.6875,1204100
2000-02-11 00:00:00+00:00,3.362076997756958,6.0625,6.25,5.625,5.75,445900
2000-02-14 00:00:00+00:00,3.327416181564331,6.0,6.0625,5.8125,6.0,273500
2000-02-15 00:00:00+00:00,3.1541125774383545,5.6875,6.0,5.6875,5.9375,90800
2000-02-16 00:00:00+00:00,3.1887731552124023,5.75,5.9375,5.75,5.9375,131800
2000-02-17 00:00:00+00:00,3.1887731552124023,5.75,5.8125,5.5,5.75,244000
2000-02-18 00:00:00+00:00,3.1887731552124023,5.75,5.75,5.625,5.6875,245700
2000-02-22 00:00:00+00:00,3.1541125774383545,5.6875,5.75,5.375,5.625,242300
2000-02-23 00:00:00+00:00,3.0501303672790527,5.5,5.6875,5.4375,5.6875,168300
2000-02-24 00:00:00+00:00,3.119452953338623,5.625,5.6875,5.25,5.4375,400300
2000-02-25 00:00:00+00:00,3.0501303672790527,5.5,5.875,5.375,5.6875,248400
2000-02-28 00:00:00+00:00,2.946150541305542,5.3125,5.4375,5.1875,5.4375,460800
2000-02-29 00:00:00+00:00,3.1541125774383545,5.6875,5.75,5.0,5.3125,3310900
2000-03-01 00:00:00+00:00,3.362076997756958,6.0625,6.125,5.5,5.6875,690400
2000-03-02 00:00:00+00:00,3.8126633167266846,6.875,7.25,6.25,6.3125,963100
2000-03-03 00:00:00+00:00,3.847325086593628,6.9375,7.1875,6.8125,7.0,599200
2000-03-06 00:00:00+00:00,3.7780020236968994,6.8125,6.9375,6.4375,6.9375,168800
2000-03-07 00:00:00+00:00,3.7433433532714844,6.75,7.0,6.625,6.8125,485700
2000-03-08 00:00:00+00:00,3.881984233856201,7.0,7.125,6.5625,6.75,1398400
2000-03-09 00:00:00+00:00,3.9166462421417236,7.0625,7.5,6.75,7.0,952500
2000-03-10 00:00:00+00:00,3.881984233856201,7.0,7.125,6.875,7.0625,364100
2000-03-13 00:00:00+00:00,3.847325086593628,6.9375,6.9375,6.625,6.625,396900
2000-03-14 00:00:00+00:00,3.8126633167266846,6.875,6.875,6.5625,6.875,253800
2000-03-15 00:00:00+00:00,3.9166462421417236,7.0625,7.0625,6.75,6.8125,342800
2000-03-16 00:00:00+00:00,4.193930625915527,7.5625,7.5625,6.9375,6.9375,951500
2000-03-17 00:00:00+00:00,4.505875110626221,8.125,8.5,7.5,7.5,767500
2000-03-20 00:00:00+00:00,4.644519329071045,8.375,8.5625,8.0625,8.375,619500
2000-03-21 00:00:00+00:00,4.540536880493164,8.1875,8.375,8.0625,8.375,315600
2000-03-22 00:00:00+00:00,4.297914981842041,7.75,8.125,7.6875,8.125,255200
2000-03-23 00:00:00+00:00,4.575196743011475,8.25,8.375,7.375,7.5,889500
2000-03-24 00:00:00+00:00,4.679178714752197,8.4375,8.4375,8.0,8.0625,606500
2000-03-27 00:00:00+00:00,4.540536880493164,8.1875,8.4375,8.1875,8.3125,300200
2000-03-28 00:00:00+00:00,4.505875110626221,8.125,8.25,7.875,8.125,344700
2000-03-29 00:00:00+00:00,4.575196743011475,8.25,8.25,7.4375,8.0,571100
2000-03-30 00:00:00+00:00,4.991125583648682,9.0,9.375,8.1875,8.25,920900
2000-03-31 00:00:00+00:00,4.956463813781738,8.9375,9.125,8.75,9.125,375800
2000-04-03 00:00:00+00:00,5.64967679977417,10.1875,10.4375,8.9375,9.0,1894400
2000-04-04 00:00:00+00:00,5.268411159515381,9.5,10.25,8.75,10.1875,1385100
2000-04-05 00:00:00+00:00,5.5110321044921875,9.9375,10.0,9.5625,9.625,1266200
2000-04-06 00:00:00+00:00,6.030944347381592,10.875,11.1875,9.9375,10.0,1883200
2000-04-07 00:00:00+00:00,6.5508503913879395,11.8125,11.8125,10.75,11.0,1614900
2000-04-10 00:00:00+00:00,6.3428874015808105,11.4375,11.75,10.875,11.375,1121600
2000-04-11 00:00:00+00:00,6.308225154876709,11.375,11.75,11.3125,11.5,901400
2000-04-12 00:00:00+00:00,6.1002607345581055,11.0,11.625,11.0,11.25,769200
2000-04-13 00:00:00+00:00,5.822977542877197,10.5,10.875,10.25,10.875,998300
2000-04-14 00:00:00+00:00,5.337728500366211,9.625,10.375,9.625,10.3125,605600
2000-04-17 00:00:00+00:00,5.407052040100098,9.75,10.0,9.5625,9.75,653800
2000-04-18 00:00:00+00:00,5.961620807647705,10.75,10.75,9.5,9.8125,390400
2000-04-19 00:00:00+00:00,5.996281623840332,10.8125,11.125,10.375,10.375,1040000
2000-04-20 00:00:00+00:00,6.169584274291992,11.125,11.25,10.75,10.8125,835400
2000-04-24 00:00:00+00:00,5.996281623840332,10.8125,11.0,10.5,10.875,631200
2000-04-25 00:00:00+00:00,6.238905906677246,11.25,11.3125,10.8125,10.8125,696100
2000-04-26 00:00:00+00:00,6.446867942810059,11.625,12.25,11.0625,11.125,1332800
2000-04-27 00:00:00+00:00,6.5161895751953125,11.75,11.8125,11.125,11.125,607300
2000-04-28 00:00:00+00:00,6.585509777069092,11.875,11.9375,11.0625,11.75,871900
