Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FRT,FRT,FRT,FRT,FRT,FRT
Date,,,,,,
2000-01-03,6.673099040985107,18.8125,18.875,18.625,18.8125,110000
2000-01-04,6.650926113128662,18.75,18.8125,18.625,18.75,176500
2000-01-05,6.628757953643799,18.6875,18.875,18.625,18.75,135400
2000-01-06,6.828283786773682,19.25,19.25,18.625,18.75,186800
2000-01-07,7.183000564575195,20.25,20.375,19.1875,19.25,190200
2000-01-10,7.227339744567871,20.375,20.5,20.0625,20.3125,64400
2000-01-11,6.961303234100342,19.625,20.25,19.5,20.25,56900
2000-01-12,7.0943217277526855,20.0,20.25,19.75,19.75,96100
2000-01-13,7.072155952453613,19.9375,20.0625,19.625,19.875,164200
2000-01-14,7.005646228790283,19.75,20.0625,19.75,20.0,53400
2000-01-18,7.0943217277526855,20.0,20.0625,19.8125,20.0,64000
2000-01-19,7.13865852355957,20.125,20.125,19.75,19.875,154100
2000-01-20,7.16083288192749,20.1875,20.25,20.125,20.1875,51900
2000-01-21,7.16083288192749,20.1875,20.1875,20.0625,20.1875,29200
2000-01-24,7.0943217277526855,20.0,20.1875,20.0,20.125,52600
2000-01-25,7.0943217277526855,20.0,20.125,19.875,20.0,66700
2000-01-26,7.0943217277526855,20.0,20.0625,20.0,20.0625,34200
2000-01-27,7.116495132446289,20.0625,20.125,20.0,20.0625,61000
2000-01-28,7.116495132446289,20.0625,20.0625,20.0,20.0,33400
2000-01-31,7.072155952453613,19.9375,20.0625,19.9375,19.9375,57100
2000-02-01,7.116495132446289,20.0625,20.0625,19.875,20.0625,49100
2000-02-02,6.983473300933838,19.6875,20.0625,19.625,20.0625,171500
2000-02-03,7.005646228790283,19.75,19.8125,19.6875,19.75,34500
2000-02-04,6.894794940948486,19.4375,19.6875,19.4375,19.625,73000
2000-02-07,6.80611515045166,19.1875,19.5,19.1875,19.375,99200
2000-02-08,6.783946514129639,19.125,19.25,19.0,19.1875,73500
2000-02-09,6.783946514129639,19.125,19.25,18.875,19.1875,70600
2000-02-10,6.850453853607178,19.3125,19.375,18.9375,19.0,33400
2000-02-11,6.650926113128662,18.75,19.25,18.75,19.1875,77400
2000-02-14,6.384890556335449,18.0,18.75,17.75,18.75,143600
2000-02-15,6.384890556335449,18.0,18.25,17.875,18.0,249000
2000-02-16,6.340550422668457,17.875,18.125,17.875,18.0,97100
