Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JBL,JBL,JBL,JBL,JBL,JBL
Date,,,,,,
2000-01-03,26.978717803955078,34.71875,36.84375,34.71875,36.5625,999000
2000-01-04,25.108909606933594,32.3125,34.5,32.0,34.5,2642800
2000-01-05,25.060338973999023,32.25,32.71875,31.4375,32.3125,1027400
2000-01-06,24.258995056152344,31.21875,32.6875,31.0625,31.625,769400
2000-01-07,25.108909606933594,32.3125,33.25,30.25,31.125,1715200
2000-01-10,26.517335891723633,34.125,34.75,32.5,32.6875,1156200
2000-01-11,25.8374080657959,33.25,34.75,32.96875,34.125,933400
2000-01-12,25.59457778930664,32.9375,33.46875,32.15625,33.125,829000
2000-01-13,25.254610061645508,32.5,33.5,32.0625,33.0,842400
2000-01-14,25.93453025817871,33.375,34.625,32.9375,33.25,1734800
2000-01-18,25.983108520507812,33.4375,33.8125,32.9375,33.25,587200
2000-01-19,26.42020606994629,34.0,34.21875,33.4375,33.4375,769200
2000-01-20,27.367250442504883,35.21875,35.34375,34.0,34.0,954600
2000-01-21,27.2458438873291,35.0625,35.875,34.71875,35.5,1173600
2000-01-24,26.784452438354492,34.46875,36.0,34.40625,35.34375,836000
2000-01-25,26.177377700805664,33.6875,34.6875,33.1875,34.4375,759600
2000-01-26,27.1972713470459,35.0,35.40625,33.8125,34.1875,1004200
2000-01-27,25.764543533325195,33.15625,34.96875,32.5625,34.875,1466800
2000-01-28,24.283279418945312,31.25,33.6875,30.75,32.5625,1329200
2000-01-31,24.57467269897461,31.625,32.25,30.875,31.28125,865800
2000-02-01,25.42458724975586,32.71875,33.0,31.875,32.0,862200
2000-02-02,26.468772888183594,34.0625,34.40625,32.1875,32.71875,757600
2000-02-03,27.585811614990234,35.5,35.6875,34.4375,34.875,1266200
2000-02-04,27.051551818847656,34.8125,35.96875,34.78125,35.8125,549600
2000-02-07,27.29439926147461,35.125,35.4375,34.5625,34.875,373200
2000-02-08,29.43134307861328,37.875,38.5,36.09375,36.15625,2191600
2000-02-09,29.989849090576172,38.59375,39.65625,38.21875,38.21875,1513600
2000-02-10,29.23707389831543,37.625,38.90625,37.15625,38.6875,993200
2000-02-11,28.67854881286621,36.90625,38.0,36.84375,37.75,916800
2000-02-14,28.290016174316406,36.40625,37.75,36.25,37.03125,801400
2000-02-15,28.5814151763916,36.78125,37.125,35.75,36.46875,1005000
2000-02-16,28.65427017211914,36.875,37.34375,36.25,36.6875,1656200
2000-02-17,27.39153480529785,35.25,36.4375,34.9375,36.25,1370600
2000-02-18,26.444488525390625,34.03125,35.375,33.65625,35.375,1474400
2000-02-22,26.128801345825195,33.625,35.21875,33.375,34.9375,1303200
2000-02-23,26.76017189025879,34.4375,35.0625,33.59375,33.90625,978200
2000-02-24,26.66303825378418,34.3125,35.09375,33.5,34.5,706200
2000-02-25,27.78006935119629,35.75,36.1875,34.21875,34.4375,1111200
2000-02-28,27.440101623535156,35.3125,36.3125,34.4375,35.78125,749200
2000-02-29,26.978717803955078,34.71875,36.125,34.71875,35.4375,713000
2000-03-01,27.051551818847656,34.8125,35.375,34.6875,34.84375,754000
2000-03-02,27.512948989868164,35.40625,36.6875,34.9375,34.9375,913800
2000-03-03,28.43570899963379,36.59375,37.0,35.34375,36.25,2019400
2000-03-06,31.85965347290039,41.0,41.0625,37.84375,38.0,4181600
2000-03-07,31.10688591003418,40.03125,41.875,39.40625,41.34375,2070400
2000-03-08,30.402667999267578,39.125,40.75,38.8125,40.15625,892200
2000-03-09,32.00535583496094,41.1875,41.4375,39.53125,39.75,914800
2000-03-10,34.67652893066406,44.625,44.75,41.375,41.5625,2026400
2000-03-13,33.413795471191406,43.0,43.6875,42.0,43.6875,1467800
2000-03-14,33.02525329589844,42.5,45.4375,42.0625,44.125,2372800
2000-03-15,30.35409927368164,39.0625,42.53125,38.625,42.53125,1695200
2000-03-16,33.413795471191406,43.0,43.0,39.6875,41.5,2392000
2000-03-17,32.44245910644531,41.75,42.75,40.125,41.0,3545800
2000-03-20,32.15106201171875,41.375,42.75,41.0,41.25,1301000
2000-03-21,31.665382385253906,40.75,42.1875,39.875,41.5,1599600
2000-03-22,31.90821647644043,41.0625,41.59375,39.75,41.4375,2957400
2000-03-23,31.373998641967773,40.375,41.6875,40.0625,41.125,1696800
2000-03-24,31.981069564819336,41.15625,43.96875,41.0,42.4375,4918000
2000-03-27,34.14228057861328,43.9375,45.0,41.75,41.75,2077400
2000-03-28,34.457977294921875,44.34375,44.875,43.375,44.5,1818000
2000-03-29,32.49103546142578,41.8125,44.03125,41.0,44.0,1739400
2000-03-30,31.228294372558594,40.1875,41.78125,38.8125,41.75,1473000
2000-03-31,33.60807418823242,43.25,43.9375,39.625,41.375,1768400
2000-04-03,31.85965347290039,41.0,42.8125,40.0625,42.5,1067300
2000-04-04,29.479900360107422,37.9375,41.5,33.5625,41.0,1879400
2000-04-05,30.54836654663086,39.3125,40.0,37.0,37.125,1505200
2000-04-06,31.471128463745117,40.5,41.3125,39.0625,39.5,1557100
2000-04-07,32.053924560546875,41.25,43.0,40.0,41.0,1077100
2000-04-10,30.35409927368164,39.0625,41.875,38.1875,41.5,992400
2000-04-11,29.479900360107422,37.9375,38.8125,36.75,38.8125,883000
