Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JNPR,JNPR,JNPR,JNPR,JNPR,JNPR
Date,,,,,,
2000-01-03,44.67914581298828,57.33333206176758,58.33333206176758,55.5,58.1875,5626200
2000-01-04,42.71470642089844,54.8125,58.83333206176758,53.5,55.5625,6387000
2000-01-05,42.389991760253906,54.39583206176758,56.66666793823242,52.33333206176758,53.84375,7562400
2000-01-06,40.522945404052734,52.0,56.5,51.35416793823242,54.5,3063600
2000-01-07,42.19517135620117,54.14583206176758,54.16666793823242,50.0,50.625,4957200
2000-01-10,42.2763557434082,54.25,56.5,52.92708206176758,56.47916793823242,18047400
2000-01-11,42.06528854370117,53.97916793823242,57.66666793823242,53.95833206176758,54.79166793823242,8139000
2000-01-12,39.97096633911133,51.29166793823242,54.83333206176758,48.83333206176758,54.83333206176758,11376000
2000-01-13,40.839542388916016,52.40625,53.0,51.0,52.98958206176758,6484800
2000-01-14,44.17586898803711,56.6875,57.16666793823242,55.0,55.5,10500600
2000-01-18,46.27020263671875,59.375,60.0,55.125,55.125,8448000
2000-01-19,46.367610931396484,59.5,61.25,56.8125,60.875,9051000
2000-01-20,45.56397247314453,58.46875,60.28125,57.4375,60.25,6099400
2000-01-21,58.4222297668457,74.96875,75.0859375,58.25,59.0625,15106000
2000-01-24,55.085899353027344,70.6875,74.875,69.40625,74.3125,7957200
2000-01-25,55.670372009277344,71.4375,72.9375,67.0,71.5,5003800
2000-01-26,56.01130294799805,71.875,74.5625,70.625,72.5,3699800
2000-01-27,55.499881744384766,71.21875,74.0,70.5625,72.625,3553200
2000-01-28,54.84237289428711,70.375,72.9375,69.21875,69.5,3815800
2000-01-31,52.72368621826172,67.65625,69.3125,62.53125,69.0,2956200
2000-02-01,53.965675354003906,69.25,71.6875,67.09375,68.1875,2484800
2000-02-02,53.405548095703125,68.53125,72.40625,68.5,70.5,2109200
2000-02-03,60.37042999267578,77.46875,78.125,70.25,70.5625,8828200
2000-02-04,66.23944854736328,85.0,86.46875,78.0,78.0,8400600
2000-02-07,67.40838623046875,86.5,92.15625,84.375,92.0625,4766200
2000-02-08,66.09335327148438,84.8125,87.0625,84.75,86.0,6035400
2000-02-09,72.44939422607422,92.96875,102.34375,85.75,86.25,10104200
2000-02-10,81.24075317382812,104.25,107.0,90.3125,94.5,6848600
2000-02-11,84.11434173583984,107.9375,115.0,103.5,108.03125,7086800
2000-02-14,79.5116958618164,102.03125,115.5,100.40625,111.0,6503800
2000-02-15,82.94544219970703,106.4375,109.25,100.125,103.375,4894000
2000-02-16,85.91647338867188,110.25,111.0,103.5625,107.5,5243800
2000-02-17,94.0015869140625,120.625,125.625,111.5,112.125,6202600
