Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PRGO,PRGO,PRGO,PRGO,PRGO,PRGO
Date,,,,,,
2000-01-03,6.308398246765137,8.125,8.5,8.0625,8.5,442500
2000-01-04,6.259871006011963,8.0625,8.1875,7.703125,8.09375,2393500
2000-01-05,6.259871006011963,8.0625,8.125,8.0,8.09375,319600
2000-01-06,6.308398246765137,8.125,8.125,8.0,8.0625,1003300
2000-01-07,6.478240013122559,8.34375,8.4375,8.0625,8.0625,192200
2000-01-10,6.599555492401123,8.5,8.5625,8.125,8.5,1484800
2000-01-11,6.405450344085693,8.25,8.5625,8.25,8.375,216500
2000-01-12,6.587424278259277,8.484375,8.5,8.25,8.375,57000
2000-01-13,6.648080348968506,8.5625,8.6875,8.375,8.5,200400
2000-01-14,6.3569254875183105,8.1875,8.625,8.125,8.5,274800
2000-01-18,6.308398246765137,8.125,8.5625,8.125,8.34375,206900
2000-01-19,6.551030158996582,8.4375,8.5,8.125,8.125,174800
2000-01-20,6.648080348968506,8.5625,8.625,8.3125,8.375,3940800
2000-01-21,6.696606636047363,8.625,8.75,8.5,8.65625,311800
2000-01-24,6.502502918243408,8.375,8.6875,8.3125,8.625,386600
2000-01-25,6.575291156768799,8.46875,8.5,8.3125,8.5,232200
2000-01-26,6.696606636047363,8.625,8.75,8.375,8.5,168200
2000-01-27,6.890711784362793,8.875,9.125,8.6875,8.71875,256500
2000-01-28,6.648080348968506,8.5625,8.9375,8.5,8.8125,239700
2000-01-31,6.672343730926514,8.59375,8.875,8.5625,8.8125,170600
2000-02-01,6.745133876800537,8.6875,8.75,8.5,8.6875,141900
2000-02-02,7.012025833129883,9.03125,9.0625,8.5,8.875,223100
2000-02-03,6.793659687042236,8.75,9.125,8.625,9.03125,125100
2000-02-04,6.720867156982422,8.65625,9.0625,8.5,8.9375,119300
2000-02-07,7.036287307739258,9.0625,9.125,8.8125,8.84375,140000
2000-02-08,7.012025833129883,9.03125,9.0625,8.75,8.9375,179100
2000-02-09,6.890711784362793,8.875,9.4375,8.875,9.0,356200
2000-02-10,6.890711784362793,8.875,8.9375,8.875,8.875,152400
2000-02-11,6.551030158996582,8.4375,9.0,8.4375,9.0,1448800
2000-02-14,6.114293575286865,7.875,8.5,7.5625,8.5,360700
2000-02-15,6.502502918243408,8.375,8.625,7.875,7.9375,308800
2000-02-16,6.575291156768799,8.46875,8.5,8.25,8.25,939400
2000-02-17,6.308398246765137,8.125,8.4375,8.125,8.375,358600
2000-02-18,6.3569254875183105,8.1875,8.4375,8.125,8.125,329800
2000-02-22,6.308398246765137,8.125,8.25,7.9375,8.0625,398900
2000-02-23,5.87166166305542,7.5625,8.0,7.5,8.0,280000
2000-02-24,5.895926475524902,7.59375,7.625,7.5,7.59375,222800
2000-02-25,5.87166166305542,7.5625,7.75,7.5,7.59375,278000
2000-02-28,5.786741733551025,7.453125,7.59375,7.40625,7.5625,188800
2000-02-29,5.701820373535156,7.34375,7.5,7.28125,7.4375,353800
2000-03-01,5.798874378204346,7.46875,7.5,7.34375,7.34375,304300
2000-03-02,5.968715667724609,7.6875,9.0,7.46875,7.46875,1263800
2000-03-03,5.968715667724609,7.6875,7.75,7.5,7.75,349800
2000-03-06,5.944450855255127,7.65625,7.8125,7.5,7.6875,484500
2000-03-07,5.968715667724609,7.6875,7.75,7.5625,7.6875,210000
2000-03-08,5.920188903808594,7.625,7.71875,7.3125,7.71875,294900
2000-03-09,5.87166166305542,7.5625,7.75,7.40625,7.6875,201600
2000-03-10,5.7503485679626465,7.40625,7.59375,7.375,7.546875,176300
2000-03-13,5.653295516967773,7.28125,7.5625,7.25,7.4375,153500
2000-03-14,5.398531913757324,6.953125,7.34375,6.84375,7.3125,679300
2000-03-15,5.362138748168945,6.90625,7.09375,6.78125,7.03125,314700
2000-03-16,5.483454704284668,7.0625,7.125,6.9375,7.0,977300
2000-03-17,5.701820373535156,7.34375,7.4375,6.875,6.875,1553500
2000-03-20,5.701820373535156,7.34375,7.5625,7.25,7.4375,463200
2000-03-21,5.774609088897705,7.4375,7.625,7.0,7.375,941200
2000-03-22,5.774609088897705,7.4375,7.625,7.375,7.59375,114200
2000-03-23,5.7503485679626465,7.40625,7.5625,7.25,7.46875,158800
2000-03-24,5.677558422088623,7.3125,7.4375,7.25,7.375,263300
2000-03-27,5.726081371307373,7.375,7.4375,7.1875,7.3125,167600
2000-03-28,5.604769706726074,7.21875,7.375,7.125,7.375,263000
2000-03-29,5.677558422088623,7.3125,7.375,7.03125,7.25,206000
2000-03-30,5.653295516967773,7.28125,7.3125,7.125,7.1875,216800
2000-03-31,5.895926475524902,7.59375,7.875,7.0,7.3125,961100
2000-04-03,5.677558422088623,7.3125,7.5625,7.25,7.5,179200
2000-04-04,5.531978130340576,7.125,7.34375,7.0,7.25,243500
2000-04-05,5.58050537109375,7.1875,7.375,7.0,7.0,252100
2000-04-06,5.629032135009766,7.25,7.3125,7.0625,7.3125,236400
2000-04-07,5.629032135009766,7.25,7.3125,7.0625,7.1875,100400
2000-04-10,5.653295516967773,7.28125,7.4375,7.25,7.3125,147600
2000-04-11,5.677558422088623,7.3125,7.375,7.125,7.25,132700
2000-04-12,5.531978130340576,7.125,7.3125,7.0625,7.125,167800
2000-04-13,5.483454704284668,7.0625,7.125,7.0,7.109375,367400
2000-04-14,5.483454704284668,7.0625,7.25,7.0,7.125,437300
2000-04-17,5.629032135009766,7.25,7.25,7.0625,7.0625,612500
2000-04-18,5.410664081573486,6.96875,7.25,6.875,7.25,628400
2000-04-19,5.38640022277832,6.9375,7.1875,6.90625,6.90625,138100
2000-04-20,5.362138748168945,6.90625,6.96875,6.90625,6.9375,83500
2000-04-24,5.4349260330200195,7.0,7.0,6.90625,6.96875,134900
2000-04-25,5.2408246994018555,6.75,7.0,6.6875,7.0,347800
2000-04-26,4.512930393218994,5.8125,6.6875,5.625,6.65625,2214700
2000-04-27,4.003406524658203,5.15625,5.6875,5.0,5.671875,3125900
2000-04-28,4.415877819061279,5.6875,5.875,5.125,5.1875,552800
2000-05-01,4.294563293457031,5.53125,5.84375,5.5,5.75,251600
2000-05-02,4.197511672973633,5.40625,5.6875,5.375,5.53125,207200
2000-05-03,4.003406524658203,5.15625,5.4375,5.0625,5.375,392500
2000-05-04,4.197511672973633,5.40625,5.53125,5.125,5.125,392200
2000-05-05,4.221772193908691,5.4375,5.5625,5.375,5.53125,200000
2000-05-08,4.173247337341309,5.375,5.4375,5.3125,5.4375,333600
2000-05-09,4.100456714630127,5.28125,5.375,5.25,5.375,275900
2000-05-10,4.100456714630127,5.28125,5.3125,5.21875,5.25,129900
2000-05-11,4.100456714630127,5.28125,5.375,5.125,5.25,664000
2000-05-12,4.051929950714111,5.21875,5.375,5.03125,5.3125,689600
2000-05-15,4.27030086517334,5.5,5.5,5.28125,5.3125,302800
2000-05-16,4.561454772949219,5.875,5.875,5.375,5.46875,187400
2000-05-17,4.585720062255859,5.90625,6.0,5.6875,5.875,366300
2000-05-18,4.4401421546936035,5.71875,5.96875,5.5,5.96875,263400
2000-05-19,4.27030086517334,5.5,5.703125,5.5,5.703125,56700
2000-05-22,4.464404582977295,5.75,5.75,5.5,5.5,203300
2000-05-23,4.343087673187256,5.59375,5.75,5.53125,5.6875,128300
2000-05-24,4.537194728851318,5.84375,5.875,5.25,5.59375,496400
2000-05-25,4.512930393218994,5.8125,6.03125,5.75,5.875,237400
2000-05-26,4.6099853515625,5.9375,6.0625,5.75,5.8125,278300
2000-05-30,4.973926544189453,6.40625,6.4375,5.875,6.0,239500
2000-05-31,4.658508777618408,6.0,6.4375,6.0,6.1875,382700
2000-06-01,4.8040876388549805,6.1875,6.375,5.9375,6.15625,325900
2000-06-02,4.779825210571289,6.15625,6.40625,6.125,6.1875,155200
2000-06-05,4.8526129722595215,6.25,6.5625,6.0,6.171875,331700
2000-06-06,4.901139736175537,6.3125,6.375,6.125,6.3125,79300
2000-06-07,4.949665069580078,6.375,6.40625,6.15625,6.34375,77000
2000-06-08,4.949665069580078,6.375,6.40625,6.15625,6.34375,63400
2000-06-09,4.901139736175537,6.3125,6.40625,6.25,6.375,51000
2000-06-12,4.82835054397583,6.21875,6.375,6.125,6.25,60700
2000-06-13,4.488668918609619,5.78125,6.09375,5.75,6.0625,126000
2000-06-14,4.682772636413574,6.03125,6.125,5.8125,5.8125,256400
2000-06-15,5.09524393081665,6.5625,6.625,6.0,6.03125,134600
2000-06-16,5.21655797958374,6.71875,6.875,6.4375,6.6875,455100
2000-06-19,5.046718597412109,6.5,6.6875,6.4375,6.625,116200
2000-06-20,4.949665069580078,6.375,6.640625,6.0,6.46875,215400
2000-06-21,5.09524393081665,6.5625,6.6875,6.375,6.40625,158100
2000-06-22,4.9981913566589355,6.4375,6.59375,6.4375,6.5,61100
2000-06-23,4.901139736175537,6.3125,6.65625,6.125,6.4375,198800
2000-06-26,5.046718597412109,6.5,6.5,6.1875,6.25,50700
2000-06-27,5.022456169128418,6.46875,6.703125,6.40625,6.4375,80600
2000-06-28,4.779825210571289,6.15625,6.46875,6.03125,6.4375,76300
2000-06-29,5.21655797958374,6.71875,6.75,6.125,6.125,199700
2000-06-30,4.901139736175537,6.3125,6.75,6.25,6.5625,256300
2000-07-03,4.901139736175537,6.3125,6.8125,6.25,6.3125,86400
2000-07-05,5.21655797958374,6.71875,6.75,6.3125,6.34375,164200
2000-07-06,5.362138748168945,6.90625,6.9375,6.71875,6.75,222200
2000-07-07,5.2408246994018555,6.75,6.9375,6.625,6.921875,161900
2000-07-10,5.09524393081665,6.5625,6.75,6.375,6.65625,253600
2000-07-11,4.9981913566589355,6.4375,6.6875,6.4375,6.484375,1929300
2000-07-12,5.28934907913208,6.8125,6.84375,6.4375,6.578125,149200
2000-07-13,5.38640022277832,6.9375,7.03125,6.75,6.75,379200
2000-07-14,5.410664081573486,6.96875,7.03125,6.875,7.0,166800
2000-07-17,5.143771171569824,6.625,7.0,6.625,6.96875,92900
2000-07-18,5.143771171569824,6.625,6.6875,6.5625,6.6875,569800
2000-07-19,5.192295074462891,6.6875,6.75,6.5625,6.5625,124800
2000-07-20,5.459190368652344,7.03125,7.0625,6.6875,6.6875,179300
2000-07-21,5.337874889373779,6.875,7.0625,6.75,7.03125,382700
2000-07-24,5.192295074462891,6.6875,6.9375,6.6875,6.875,436100
2000-07-25,5.313612461090088,6.84375,7.0,6.6875,6.6875,185800
2000-07-26,5.38640022277832,6.9375,7.0,6.875,6.875,877700
