Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PVH,PVH,PVH,PVH,PVH,PVH
Date,,,,,,
2000-01-03,7.019344806671143,7.8125,8.1875,7.75,8.1875,30100
2000-01-04,6.7385711669921875,7.5,7.875,7.4375,7.75,17500
2000-01-05,6.626263618469238,7.375,7.5625,7.375,7.5,26800
2000-01-06,6.794723987579346,7.5625,7.6875,7.25,7.375,48400
2000-01-07,6.626263618469238,7.375,7.875,7.375,7.5625,20900
2000-01-10,6.345489978790283,7.0625,7.5,7.0,7.5,84300
2000-01-11,6.177023887634277,6.875,7.25,6.8125,7.1875,31500
2000-01-12,6.401642322540283,7.125,7.125,6.8125,7.0,28200
2000-01-13,6.401642322540283,7.125,7.25,7.125,7.25,17900
2000-01-14,6.2331767082214355,6.9375,7.1875,6.9375,7.1875,29100
2000-01-18,6.513953685760498,7.25,7.25,7.0625,7.0625,50100
2000-01-19,6.626263618469238,7.375,7.375,7.25,7.25,12800
2000-01-20,6.850881099700928,7.625,7.625,7.3125,7.3125,27200
2000-01-21,6.963191032409668,7.75,7.75,7.4375,7.5,43000
2000-01-24,6.682416915893555,7.4375,7.875,7.4375,7.8125,88400
2000-01-25,6.457797527313232,7.1875,7.375,7.0,7.375,969200
2000-01-26,6.401642322540283,7.125,7.25,7.125,7.25,9200
2000-01-27,6.345489978790283,7.0625,7.1875,7.0625,7.125,9600
2000-01-28,6.289334774017334,7.0,7.125,7.0,7.125,26300
2000-01-31,6.064713001251221,6.75,7.0625,6.75,7.0,16400
2000-02-01,5.9524030685424805,6.625,6.8125,6.625,6.8125,43900
2000-02-02,6.1208696365356445,6.8125,6.8125,6.6875,6.75,40500
2000-02-03,6.289334774017334,7.0,7.0,6.75,6.75,34500
2000-02-04,6.0085601806640625,6.6875,7.0,6.6875,7.0,70400
2000-02-07,5.783936977386475,6.4375,6.6875,6.4375,6.6875,20100
2000-02-08,5.390857696533203,6.0,6.4375,6.0,6.375,39000
2000-02-09,5.278546333312988,5.875,5.9375,5.8125,5.875,128200
2000-02-10,5.783936977386475,6.4375,6.5,5.9375,6.0,132800
2000-02-11,5.727785110473633,6.375,6.5,6.3125,6.5,19500
2000-02-14,5.783936977386475,6.4375,6.5625,6.25,6.25,19900
2000-02-15,5.727785110473633,6.375,6.5,6.125,6.5,66900
2000-02-16,6.0085601806640625,6.6875,6.6875,6.25,6.375,40600
2000-02-17,6.2331767082214355,6.9375,7.3125,6.75,6.75,68600
2000-02-18,6.289334774017334,7.0,7.125,6.9375,7.0,31400
2000-02-22,6.289334774017334,7.0,7.1875,6.9375,7.0,24500
2000-02-23,6.289334774017334,7.0,7.0625,7.0,7.0,12700
2000-02-24,6.2331767082214355,6.9375,7.0,6.9375,7.0,24800
2000-02-25,6.2331767082214355,6.9375,7.125,6.9375,7.0,17000
2000-02-28,6.289334774017334,7.0,7.0,6.75,6.9375,97300
2000-02-29,6.2331767082214355,6.9375,7.0625,6.8125,7.0,29000
2000-03-01,6.2331767082214355,6.9375,7.0,6.75,6.875,83800
2000-03-02,6.177023887634277,6.875,7.0,6.75,6.9375,52400
2000-03-03,6.1208696365356445,6.8125,6.8125,6.625,6.75,81000
2000-03-06,6.345489978790283,7.0625,7.0625,6.875,6.875,76500
2000-03-07,6.401642322540283,7.125,7.1875,6.875,7.1875,32700
2000-03-08,6.177023887634277,6.875,7.125,6.625,7.125,32000
2000-03-09,6.437223434448242,7.125,7.25,6.875,6.875,45200
2000-03-10,6.2113542556762695,6.875,7.125,6.6875,7.125,16600
2000-03-13,6.267822265625,6.9375,6.9375,6.8125,6.8125,11400
2000-03-14,6.098421573638916,6.75,6.9375,6.75,6.8125,71200
2000-03-15,5.985488414764404,6.625,6.75,6.5625,6.75,36900
2000-03-16,5.985488414764404,6.625,6.6875,6.625,6.625,27200
2000-03-17,6.041954517364502,6.6875,6.75,6.5625,6.5625,39100
2000-03-20,6.324288368225098,7.0,7.0625,6.6875,6.8125,94400
2000-03-21,6.60662317276001,7.3125,7.375,6.875,7.0,105500
2000-03-22,6.71955680847168,7.4375,7.5625,7.3125,7.3125,60900
2000-03-23,6.663093090057373,7.375,7.5,7.375,7.375,17100
2000-03-24,6.267822265625,6.9375,7.375,6.8125,7.375,55200
2000-03-27,6.324288368225098,7.0,7.3125,6.9375,6.9375,90600
2000-03-28,6.380753517150879,7.0625,7.1875,6.9375,7.0,84900
2000-03-29,6.71955680847168,7.4375,7.5,7.0,7.0,70900
2000-03-30,6.663093090057373,7.375,7.5,7.375,7.5,19300
2000-03-31,6.945423126220703,7.6875,7.9375,7.4375,7.5,72700
2000-04-03,7.058359146118164,7.8125,7.8125,7.625,7.75,43600
2000-04-04,6.888956069946289,7.625,7.75,7.5625,7.6875,86100
2000-04-05,6.71955680847168,7.4375,7.5625,7.3125,7.5,52500
2000-04-06,6.888956069946289,7.625,7.6875,7.4375,7.4375,31400
2000-04-07,7.001893043518066,7.75,7.9375,7.5625,7.625,96900
2000-04-10,7.340692043304443,8.125,8.125,7.625,7.6875,79100
2000-04-11,7.340692043304443,8.125,8.25,7.8125,8.25,100300
2000-04-12,7.058359146118164,7.8125,8.125,7.75,8.125,50800
2000-04-13,7.22775936126709,8.0,8.0625,7.75,7.875,45800
2000-04-14,6.5501556396484375,7.25,8.25,7.25,8.0625,90600
2000-04-17,6.60662317276001,7.3125,7.625,7.25,7.25,26600
2000-04-18,6.663093090057373,7.375,7.4375,7.3125,7.4375,25500
2000-04-19,6.888956069946289,7.625,7.625,7.25,7.25,17500
2000-04-20,7.001893043518066,7.75,7.8125,7.625,7.625,12900
2000-04-24,6.832489013671875,7.5625,7.9375,7.5625,7.875,7700
2000-04-25,6.888956069946289,7.625,7.6875,7.5625,7.625,7100
2000-04-26,7.453625202178955,8.25,8.3125,7.6875,7.6875,66500
2000-04-27,7.22775936126709,8.0,8.1875,8.0,8.125,28500
2000-04-28,7.623027801513672,8.4375,8.4375,7.9375,8.0,32400
2000-05-01,7.453625202178955,8.25,8.375,8.0625,8.375,20400
2000-05-02,7.510094165802002,8.3125,8.4375,8.25,8.25,59800
2000-05-03,7.340692043304443,8.125,8.3125,7.9375,8.3125,118400
