Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TFX,TFX,TFX,TFX,TFX,TFX
Date,,,,,,
2000-01-03,22.096481323242188,31.25,31.25,29.6875,31.125,172200
2000-01-04,21.610349655151367,30.5625,31.5625,30.4375,31.125,138700
2000-01-05,22.936140060424805,32.4375,33.0,30.75,30.75,167400
2000-01-06,22.936140060424805,32.4375,32.75,32.1875,32.1875,240400
2000-01-07,23.643220901489258,33.4375,33.75,32.625,32.625,161100
2000-01-10,24.30612564086914,34.375,34.375,33.375,33.375,237600
2000-01-11,23.95258331298828,33.875,34.25,33.75,34.25,171500
2000-01-12,24.040973663330078,34.0,34.4375,33.75,33.8125,160600
2000-01-13,24.792240142822266,35.0625,35.25,33.875,33.875,191500
2000-01-14,24.924827575683594,35.25,35.8125,35.1875,35.3125,167800
2000-01-18,25.32254981994629,35.8125,36.1875,34.6875,35.5,112900
2000-01-19,25.101591110229492,35.5,36.125,35.375,35.6875,74900
2000-01-20,24.48290252685547,34.625,35.6875,34.3125,35.625,106700
2000-01-21,23.687419891357422,33.5,34.625,33.375,34.5625,123100
2000-01-24,22.847747802734375,32.3125,33.4375,32.0,33.4375,179500
2000-01-25,23.289682388305664,32.9375,33.0625,32.3125,32.3125,110900
2000-01-26,22.759368896484375,32.1875,33.0625,31.875,33.0,98000
2000-01-27,22.715177536010742,32.125,32.8125,32.0,32.0,179500
2000-01-28,22.62678337097168,32.0,32.25,31.6875,32.125,189100
2000-01-31,22.450016021728516,31.75,32.0,31.25,31.875,80700
2000-02-01,22.052278518676758,31.1875,31.8125,31.0625,31.75,177400
2000-02-02,21.301002502441406,30.125,30.6875,28.9375,30.6875,504700
2000-02-03,21.654542922973633,30.625,30.9375,30.25,30.5,175100
2000-02-04,21.212615966796875,30.0,30.8125,29.875,30.75,82900
2000-02-07,20.90326499938965,29.5625,30.3125,29.25,30.125,162200
2000-02-08,20.770675659179688,29.375,29.9375,29.25,29.5,95200
2000-02-09,20.770675659179688,29.375,29.9375,29.0625,29.875,90200
2000-02-10,20.90326499938965,29.5625,30.1875,29.3125,29.625,141000
2000-02-11,20.240375518798828,28.625,29.6875,28.4375,29.4375,97700
2000-02-14,20.859071731567383,29.5,29.875,28.6875,28.8125,159400
2000-02-15,20.240375518798828,28.625,29.5625,28.5,29.5,80200
2000-02-16,20.372947692871094,28.8125,29.4375,28.375,28.5,123900
2000-02-17,20.196176528930664,28.5625,29.1875,28.25,29.0625,131800
2000-02-18,20.15198516845703,28.5,28.625,28.1875,28.5625,216900
2000-02-22,19.975215911865234,28.25,29.0,28.0625,28.75,155900
2000-02-23,19.712383270263672,27.75,28.3125,27.0625,27.9375,235300
2000-02-24,19.13521957397461,26.9375,27.625,26.125,27.625,135400
2000-02-25,19.31280517578125,27.1875,27.8125,26.4375,26.8125,107800
2000-02-28,19.268409729003906,27.125,27.75,26.625,27.4375,119000
2000-02-29,20.06757164001465,28.25,28.25,27.0625,27.0625,188200
2000-03-01,20.91110610961914,29.4375,30.1875,28.0,28.0,223500
2000-03-02,20.4227352142334,28.75,29.75,28.625,29.4375,110100
2000-03-03,20.20075225830078,28.4375,29.1875,28.375,29.125,126600
2000-03-06,19.801172256469727,27.875,28.375,27.625,28.1875,147500
2000-03-07,19.579187393188477,27.5625,27.75,27.4375,27.75,137400
2000-03-08,19.801172256469727,27.875,28.3125,27.5625,27.625,65600
2000-03-09,20.33395004272461,28.625,28.9375,27.75,27.75,63600
2000-03-10,20.4227352142334,28.75,29.0,28.125,28.5625,100700
2000-03-13,20.33395004272461,28.625,29.1875,27.625,28.875,224100
2000-03-14,19.801172256469727,27.875,28.6875,27.75,28.625,105700
2000-03-15,19.712383270263672,27.75,27.9375,27.375,27.9375,183300
2000-03-16,20.866701126098633,29.375,29.375,27.875,27.875,326100
2000-03-17,21.177486419677734,29.8125,30.1875,29.0625,29.125,142700
2000-03-20,21.39948081970215,30.125,30.25,29.875,29.9375,126000
2000-03-21,21.08869171142578,29.6875,30.0625,29.375,30.0625,86300
2000-03-22,21.310686111450195,30.0,30.0625,29.375,29.9375,136900
2000-03-23,21.976646423339844,30.9375,31.1875,30.1875,30.25,126000
2000-03-24,21.44387435913086,30.1875,30.8125,29.9375,30.8125,173000
2000-03-27,20.91110610961914,29.4375,29.625,29.0,29.0,197100
2000-03-28,21.08869171142578,29.6875,29.875,28.875,29.625,154000
2000-03-29,20.91110610961914,29.4375,29.75,28.875,29.75,75000
2000-03-30,22.33182144165039,31.4375,31.6875,29.5625,29.5625,198000
2000-03-31,25.12885284423828,35.375,35.5,31.5,31.5,397900
2000-04-03,24.018917083740234,33.8125,35.0,32.9375,35.0,200400
2000-04-04,23.930126190185547,33.6875,34.625,33.25,33.4375,166800
2000-04-05,24.285301208496094,34.1875,34.4375,33.4375,33.4375,114700
2000-04-06,24.818058013916016,34.9375,35.1875,34.3125,34.3125,75000
2000-04-07,24.551679611206055,34.5625,35.5,34.5,34.8125,50600
2000-04-10,24.684871673583984,34.75,35.25,33.8125,34.4375,93900
2000-04-11,24.551679611206055,34.5625,35.1875,34.375,35.0,50800
2000-04-12,24.551679611206055,34.5625,35.1875,34.125,34.6875,73100
2000-04-13,25.617225646972656,36.0625,36.875,35.0,35.0,173800
2000-04-14,24.329702377319336,34.25,35.8125,34.0,35.8125,119000
2000-04-17,24.818058013916016,34.9375,34.9375,33.5,34.0,117300
2000-04-18,24.906862258911133,35.0625,35.5,34.9375,34.9375,84900
2000-04-19,24.418489456176758,34.375,35.1875,34.25,35.1875,79600
2000-04-20,23.796924591064453,33.5,34.3125,33.125,34.0,129100
2000-04-24,23.88572120666504,33.625,33.6875,33.0,33.5,88600
2000-04-25,24.329702377319336,34.25,34.6875,33.875,34.0,104000
2000-04-26,24.018917083740234,33.8125,34.75,33.625,34.125,88500
2000-04-27,24.107711791992188,33.9375,34.0,32.9375,33.9375,55900
2000-04-28,24.551679611206055,34.5625,34.9375,33.625,34.0625,98700
2000-05-01,24.862468719482422,35.0,35.5,34.5,34.5,274600
2000-05-02,24.862468719482422,35.0,35.0625,34.625,35.0,102200
2000-05-03,23.930126190185547,33.6875,34.875,33.5,34.75,103700
2000-05-04,24.951250076293945,35.125,35.125,33.8125,33.8125,103300
2000-05-05,25.306428909301758,35.625,35.75,34.625,35.0,42500
2000-05-08,24.729276657104492,34.8125,35.75,34.625,35.5,42300
2000-05-09,24.374101638793945,34.3125,34.8125,33.625,34.8125,73100
2000-05-10,24.06332015991211,33.875,34.375,33.5625,34.0625,133900
2000-05-11,24.418489456176758,34.375,34.875,33.875,34.0,142800
2000-05-12,24.462881088256836,34.4375,34.5,33.875,34.125,61200
2000-05-15,23.974517822265625,33.75,34.4375,33.625,34.4375,50100
2000-05-16,24.329702377319336,34.25,34.25,33.6875,33.75,88700
2000-05-17,23.930126190185547,33.6875,34.25,33.5625,34.25,88200
2000-05-18,24.285301208496094,34.1875,34.5,33.8125,33.8125,147900
2000-05-19,23.88572120666504,33.625,34.0625,33.25,34.0625,79900
2000-05-22,24.374101638793945,34.3125,34.5,33.125,33.375,100500
2000-05-23,24.124374389648438,33.8125,34.6875,33.75,34.25,75400
2000-05-24,24.03519058227539,33.6875,34.75,33.1875,34.0625,109500
2000-05-25,25.01620864868164,35.0625,35.125,33.8125,33.875,104700
2000-05-26,24.837852478027344,34.8125,35.125,34.625,35.0625,75300
2000-05-30,25.68510627746582,36.0,36.25,34.8125,34.8125,121400
2000-05-31,25.283769607543945,35.4375,36.0625,35.4375,36.0625,64400
2000-06-01,26.086429595947266,36.5625,36.625,35.25,35.5,116200
2000-06-02,26.131038665771484,36.625,37.125,36.5625,36.6875,94600
2000-06-05,26.2202091217041,36.75,37.1875,36.4375,36.5,68500
2000-06-06,26.131038665771484,36.625,37.3125,36.5625,36.75,61400
2000-06-07,25.952655792236328,36.375,37.0,36.1875,36.75,85300
2000-06-08,25.41755485534668,35.625,36.375,35.125,36.375,103700
2000-06-09,25.863462448120117,36.25,36.375,35.625,35.625,46600
2000-06-12,25.462142944335938,35.6875,36.875,35.4375,36.25,77600
2000-06-13,26.487762451171875,37.125,37.75,35.5625,35.6875,87100
2000-06-14,26.755306243896484,37.5,37.625,36.875,36.875,112300
2000-06-15,26.353979110717773,36.9375,37.625,36.875,37.5625,135200
2000-06-16,26.175609588623047,36.6875,37.5,36.6875,36.6875,110700
2000-06-19,26.131038665771484,36.625,37.0,36.3125,36.6875,65500
2000-06-20,26.487762451171875,37.125,37.4375,36.5625,36.5625,98100
2000-06-21,26.621551513671875,37.3125,37.9375,37.25,37.375,140900
2000-06-22,26.398591995239258,37.0,37.3125,35.8125,37.3125,130300
2000-06-23,26.44316864013672,37.0625,37.3125,37.0,37.0,89100
2000-06-26,27.42420768737793,38.4375,38.4375,37.1875,37.1875,115700
2000-06-27,27.15664291381836,38.0625,38.9375,38.0625,38.4375,133400
2000-06-28,27.42420768737793,38.4375,38.5625,38.1875,38.375,251400
2000-06-29,27.55797576904297,38.625,38.625,38.1875,38.4375,188700
2000-06-30,25.506723403930664,35.75,38.625,35.75,38.625,508300
2000-07-03,26.889087677001953,37.6875,37.75,36.0,36.0,160700
2000-07-05,26.621551513671875,37.3125,37.5625,36.875,37.0,105800
2000-07-06,25.99724769592285,36.4375,37.6875,36.375,37.25,116900
2000-07-07,26.353979110717773,36.9375,37.25,36.375,36.375,79900
2000-07-10,26.933673858642578,37.75,37.8125,36.9375,36.9375,131100
2000-07-11,27.067461013793945,37.9375,37.9375,37.25,37.6875,98200
2000-07-12,28.18227195739746,39.5,39.5,38.25,38.3125,226400
2000-07-13,27.468786239624023,38.5,39.5,38.4375,39.5,223000
2000-07-14,27.42420768737793,38.4375,38.6875,38.0625,38.3125,149000
2000-07-17,27.245830535888672,38.1875,38.5,38.0625,38.25,163800
2000-07-18,26.6661319732666,37.375,38.5,37.375,38.3125,110200
2000-07-19,26.2202091217041,36.75,37.625,36.6875,37.625,119400
2000-07-20,26.57695770263672,37.25,37.25,36.5625,36.625,93600
2000-07-21,26.175609588623047,36.6875,37.25,36.125,37.1875,65400
2000-07-24,25.283769607543945,35.4375,36.8125,35.375,36.75,78800
2000-07-25,25.595928192138672,35.875,36.0625,35.1875,35.1875,132900
2000-07-26,25.952655792236328,36.375,36.4375,35.4375,35.9375,56100
2000-07-27,25.863462448120117,36.25,36.5,35.3125,36.375,88600
2000-07-28,25.68510627746582,36.0,36.3125,35.625,36.25,94600
2000-07-31,25.863462448120117,36.25,36.625,36.0,36.0,99000
2000-08-01,25.506723403930664,35.75,36.25,35.625,36.25,65400
2000-08-02,25.81887435913086,36.1875,36.25,35.625,36.0,81300
